Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,615310890,7894.126679189345,2586691,33.185933754429335,176357,6524568,83.70689866871211,6672,0.08559837646226491,454,
United States of America,Americas,94965623,28690.291,189671,57.302,0,1047392,316.43,2052,0.62,0
India,South-East Asia,44597498,3231.692,25255,1.83,3011,528701,38.312,171,0.012,28
Brazil,Americas,34654190,16303.296,23196,10.913,0,685927,322.699,145,0.068,0
France,Europe,34390313,52876.156,270977,416.635,37453,151537,232.993,200,0.308,0
Germany,Europe,33386229,40143.741,392089,471.449,0,150064,180.438,93,0.112,0
Republic of Korea,Western Pacific,24831761,48434.086,197523,385.267,12150,28509,55.607,263,0.513,20
The United Kingdom,Europe,23672855,34871.481,26623,39.217,0,190317,280.348,57,0.084,0
Italy,Europe,22529252,37774.463,225646,378.337,28906,177150,297.025,270,0.453,20
Japan,Western Pacific,21330772,16865.409,263228,208.124,0,44965,35.552,590,0.466,71
Russian Federation,Europe,21073185,14440.171,240076,164.509,24158,387559,265.571,717,0.491,91
Türkiye,Europe,16873793,20007.09,0,0,0,101139,119.92,0,0,0
Spain,Europe,13422984,28358.848,19482,41.16,0,114179,241.227,170,0.359,0
Viet Nam,Western Pacific,11480518,11794.417,8217,8.442,490,43149,44.329,3,0.003,0
Australia,Western Pacific,10191312,39966.111,0,0,0,14853,58.247,0,0,0
Argentina,Americas,9708420,21480.814,0,0,0,129897,287.41,0,0,0
Netherlands,Europe,8430861,48432.112,12333,70.848,0,22650,130.116,11,0.063,0
China,Western Pacific,7752253,526.903,307284,20.885,44616,26568,1.806,392,0.027,68
Iran (Islamic Republic of),Eastern Mediterranean,7549586,8988.357,2497,2.973,1618,144439,171.966,45,0.054,23
Mexico,Americas,7082034,5492.812,0,0,0,330046,255.983,0,0,0
Indonesia,South-East Asia,6434585,2352.479,10712,3.916,0,158132,57.813,96,0.035,0
Colombia,Americas,6306552,12394.249,0,0,0,141769,278.618,0,0,0
Poland,Europe,6297656,16591.056,23608,62.195,225,117598,309.81,142,0.374,0
Portugal,Europe,5480864,53233.415,805,7.819,0,25008,242.893,4,0.039,0
